TIME,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
European Union - 27 countries (from 2020),"2,809,855,835",s,"2,755,411,635",s,"2,690,424,075",s,"2,611,007,634",s,"2,525,643,260",s,"2,565,178,693",s,"2,563,118,493",s,"2,574,043,074",s,"2,524,675,315",s,"2,403,228,831",s
European Union - 28 countries (2013-2020),"3,225,812,649",s,"3,150,491,874",s,"3,092,268,820",s,"2,999,386,646",s,"2,890,402,222",s,"2,912,082,361",s,"2,884,688,315",s,"2,882,070,928",s,"2,827,484,535",s,"2,694,319,238",s
Belgium,"88,767,106",,"82,547,991",,"79,335,816",,"77,087,746",,"75,000,154",,"79,048,240",,"78,335,930",,"77,687,946",,"77,735,629",,"78,371,126",s
Bulgaria,"45,749,304",,"50,897,886",,"46,097,910",,"40,595,666",,"43,137,487",,"45,703,735",,"42,799,837",,"44,901,627",,"40,882,995",,"39,460,336",s
Czechia,"97,590,390",,"94,608,758",,"90,188,682",,"86,068,498",,"85,322,286",,"84,065,230",,"86,435,296",,"84,686,901",,"86,395,475",,"87,855,955",s
Denmark,"78,040,386",,"76,439,690",,"70,229,775",,"68,326,527",,"63,478,186",,"63,659,968",,"66,479,097",,"65,973,024",,"68,398,118",,"66,084,250",
Germany (until 1990 former territory of the FRG),"695,899,930",,"682,481,527",,"689,299,363",,"699,158,999",,"674,873,730",,"674,449,493",,"677,755,299",,"644,861,317",,"623,401,348",,"576,336,892",s
Estonia,"18,657,582",,"18,249,458",,"17,493,173",,"19,382,167",,"18,455,111",,"15,211,542",,"16,887,633",,"18,069,386",,"17,133,742",,"11,822,294",s
Ireland,"27,518,190",,"24,852,841",,"25,470,009",,"34,066,976",,"34,333,556",,"36,046,198",,"40,414,153",,"42,377,799",,"43,077,341",,"42,192,724",s
Greece,"77,303,376",,"74,426,055",,"74,816,390",,"67,116,863",,"64,274,497",,"59,718,578",,"56,288,345",,"61,436,666",,"59,069,259",,"53,289,079",s
Spain,"220,774,513",,"226,510,893",,"224,488,354",,"196,508,146",,"199,567,461",,"214,955,670",,"202,013,947",,"218,580,281",,"213,033,728",,"194,385,659",p
France,"266,874,924",,"251,768,600",,"252,591,735",,"255,815,669",,"234,345,675",,"235,340,694",,"234,303,777",,"240,052,331",,"230,325,044",,"227,700,004",s
Croatia,"15,549,177",,"15,466,563",,"14,044,058",,"13,699,303",,"13,060,021",,"12,854,076",,"12,858,775",,"13,499,791",,"12,786,199",,"12,945,330",s
Italy,"326,262,819",,"318,860,792",,"302,084,146",,"270,228,303",,"253,437,880",,"261,391,477",,"258,896,030",,"260,988,932",,"255,425,241",,"247,801,608",p
Cyprus,"6,896,069",,"6,307,542",,"5,706,070",,"5,096,144",,"5,438,120",,"5,246,818",,"5,614,022",,"5,857,832",,"5,975,164",,"5,925,933",s
Latvia,"8,347,460",,"7,603,680",,"7,288,762",,"6,945,815",,"6,772,065",,"7,047,255",,"6,913,186",,"7,024,023",,"7,615,113",,"8,512,424",p
Lithuania,"11,817,981",,"12,338,166",,"12,263,669",,"11,347,161",,"11,682,219",,"12,260,243",,"12,081,743",,"13,103,093",,"14,098,547",,"14,217,370",s
Luxembourg,"7,514,866",,"6,704,938",,"6,720,870",,"6,716,265",,"6,765,911",,"7,579,993",,"7,427,901",,"7,425,198",,"7,631,830",,"7,672,892",s
Hungary,"39,494,664",,"39,041,834",,"36,066,090",,"34,162,606",,"34,586,497",,"36,418,072",,"35,921,581",,"37,384,246",,"37,410,515",,"37,058,145",s
Malta,"3,713,028",s,"3,599,818",s,"3,659,026",s,"3,408,780",s,"3,480,813",s,"3,097,594",s,"2,851,875",s,"3,404,037",s,"3,583,770",s,"3,864,799",s
Netherlands,"158,943,306",,"151,766,414",,"149,152,686",,"148,410,282",,"148,461,481",,"154,450,689",,"151,992,182",,"150,269,383",,"146,428,229",,"142,775,262",
Austria,"52,687,757",,"52,913,923",,"50,175,158",,"49,245,657",,"47,262,420",,"48,008,061",,"47,603,518",,"50,983,888",,"48,640,944",,"50,464,900",s
Poland,"292,562,249",,"296,268,357",,"287,518,957",,"283,393,034",,"275,089,074",,"278,084,062",,"288,554,898",,"292,059,103",,"295,208,244",,"277,046,203",s
Portugal,"42,849,600",,"42,625,900",,"41,767,600",,"40,037,700",,"40,047,000",,"44,330,200",,"42,281,200",,"46,421,600",,"43,175,200",,"38,742,614",s
Romania,"72,403,380",,"77,130,898",,"72,679,729",,"63,903,337",,"64,405,447",,"64,624,943",,"62,430,481",,"63,837,059",,"62,077,315",,"59,773,956",s
Slovenia,"13,415,211",,"13,365,064",,"12,714,131",,"12,352,400",,"10,862,418",,"11,205,034",,"12,112,277",,"12,482,708",,"12,834,202",,"12,542,603",s
Slovakia,"31,423,199",,"32,006,897",,"29,806,314",,"29,250,751",,"27,939,937",,"28,363,632",,"28,694,065",,"29,536,189",,"29,728,711",,"28,420,043",s
